Time,Occupancy
75.47713692685075,3
188.6928423171269,3
301.908547707403,3
415.1242530976791,3
528.3399584879553,3
641.5556638782314,3
754.7713692685074,3
867.9870746587835,3
981.2027800490596,3
1094.4184854393359,3
1207.634190829612,3
1320.849896219888,3
1434.0656016101645,3
1547.2813070004404,3
1660.4970123907165,3
1773.7127177809925,3
1886.9284231712686,3
2000.1441285615451,3
2113.359833951821,3
2226.5755393420973,3
2339.791244732373,3
2453.006950122649,3
2566.222655512925,3
2679.4383609032016,3
2792.6540662934776,3
2905.8697716837537,3
3019.0854770740298,3
3132.3011824643067,3
3245.5168878545824,3
3358.7325932448584,3
3471.948298635134,3
3585.1640040254106,3
3698.379709415687,3
3811.5954148059627,3
3924.811120196239,3
4038.026825586515,3
4151.2425309767905,3
4264.458236367067,3
4377.6739417573435,3
4490.88964714762,2
4604.105352537896,3
4717.321057928172,1
4830.536763318448,1
4943.752468708723,1
5056.968174099,2
5170.1838794892765,2
5283.399584879552,2
5396.6152902698295,2
5509.830995660105,2
5623.046701050381,2
5736.262406440656,2
5849.478111830933,2
5962.6938172212085,2
6075.909522611486,2
6189.125228001762,1
6302.340933392037,1
6415.556638782315,1
6528.77234417259,1
6641.988049562866,1
6755.203754953142,2
6868.419460343418,2
6981.635165733695,2
7094.85087112397,2
7208.066576514247,2
7321.282281904521,2
7434.497987294799,2
7547.713692685074,3
7660.929398075352,3
7774.1451034656275,3
7887.360808855903,2
8000.57651424618,2
8113.792219636455,2
8227.007925026732,3
8340.223630417007,3
8453.439335807285,2
8566.65504119756,2
8679.870746587836,2
8793.086451978112,2
8906.302157368389,2
9019.517862758665,2
9132.73356814894,2
9245.949273539216,2
9359.164978929492,2
9472.380684319767,2
9585.596389710045,2
9698.812095100322,2
9812.027800490598,2
9925.243505880871,2
10038.459211271147,2
10151.674916661426,2
10264.890622051702,2
10378.106327441978,2
10491.322032832255,2
10604.537738222529,2
10717.753443612806,2
10830.969149003082,2
10944.18485439336,2
11057.400559783635,2
11170.616265173909,2
11283.831970564186,2
11397.047675954464,3
11510.263381344741,3
11623.479086735017,3
11736.694792125292,3
11849.91049751557,3
11963.126202905845,3
12076.34190829612,3
12189.557613686397,3
12302.773319076672,3
12415.989024466948,3
12529.204729857223,2
12642.4204352475,2
12755.636140637776,2
12868.851846028052,2
12982.06755141833,2
13095.283256808603,2
13208.498962198879,2
13321.714667589158,2
13434.930372979434,2
13548.14607836971,2
