(79.53887618605782,7)
(119.30831427908673,7)
(159.07775237211564,7)
(198.84719046514454,7)
(238.61662855817346,7)
(278.3860666512024,9)
(318.1555047442313,8)
(357.9249428372602,8)
(397.69438093028907,8)
(437.463819023318,8)
(477.2332571163469,8)
(517.0026952093758,8)
(556.7721333024048,8)
(596.5415713954336,8)
(636.3110094884626,7)
(676.0804475814915,7)
(715.8498856745204,7)
(755.6193237675493,7)
(795.3887618605781,8)
(835.1581999536071,8)
(874.927638046636,8)
(914.6970761396649,8)
(954.4665142326938,8)
(994.2359523257228,8)
(1034.0053904187516,7)
(1073.7748285117805,7)
(1113.5442666048095,7)
(1153.3137046978384,8)
(1193.0831427908672,8)
(1232.8525808838963,8)
(1272.6220189769251,10)
(1312.391457069954,8)
(1352.160895162983,9)
(1391.9303332560119,10)
(1431.6997713490407,9)
(1471.4692094420698,9)
(1511.2386475350986,7)
(1551.0080856281274,7)
(1590.7775237211563,8)
(1630.5469618141854,7)
(1670.3163999072142,7)
(1710.085838000243,7)
(1749.855276093272,7)
(1789.624714186301,7)
(1829.3941522793298,7)
(1869.1635903723588,8)
(1908.9330284653877,7)
(1948.7024665584165,7)
(1988.4719046514456,7)
(2028.2413427444744,7)
(2068.0107808375033,8)
(2107.780218930532,7)
(2147.549657023561,8)
(2187.3190951165902,8)
(2227.088533209619,8)
(2266.857971302648,8)
(2306.6274093956768,8)
(2346.3968474887056,8)
(2386.1662855817344,7)
(2425.9357236747637,8)
(2465.7051617677926,8)
(2505.4745998608214,8)
(2545.2440379538502,7)
(2585.013476046879,7)
(2624.782914139908,8)
(2664.5523522329368,8)
(2704.321790325966,8)
(2744.091228418995,8)
(2783.8606665120237,8)
(2823.6301046050526,8)
(2863.3995426980814,8)
(2903.1689807911102,8)
(2942.9384188841395,8)
(2982.7078569771684,8)
(3022.477295070197,8)
(3062.246733163226,8)
(3102.016171256255,8)
(3141.7856093492837,8)
(3181.5550474423126,8)
(3221.324485535342,8)
(3261.0939236283707,8)
(3300.8633617213995,8)
(3340.6327998144284,8)
(3380.402237907457,8)
(3420.171676000486,8)
(3459.9411140935154,8)
(3499.710552186544,8)
(3539.479990279573,8)
